cohort,target,group,title,coef,std_err,p
UKB,FEV1,Anthropometrics,BMI,-81.28,1.3,0.0
UKB,FEV1,Anthropometrics,Height,331.32,1.65,0.0
UKB,FEV1,Anthropometrics,Hip Circumference,-9.89,1.31,0.0
UKB,FEV1,Anthropometrics,Sit Height,254.0,1.55,0.0
UKB,FEV1,Anthropometrics,Waist Circumference,-60.45,1.48,0.0
UKB,FEV1,Anthropometrics,Weight,25.93,1.48,0.0
UKB,FEV1,Baseline,Sex,-962.64,2.67,0.0
UKB,FEV1,Demographics,High School Graduate,71.79,2.65,0.0
UKB,FEV1,Demographics,Immigrant,-327.81,4.85,0.0
UKB,FEV1,Demographics,Income Level,55.05,1.37,0.0
UKB,FEV1,Demographics,Income:Poverty,95.61,3.64,0.0
UKB,FEV1,Demographics,Veteran,0.0,0.0,
UKB,FEV1,Exposures,PM10,-27.79,1.3,0.0
UKB,FEV1,Exposures,PM2.5,-33.82,1.31,0.0
UKB,FEV1,Exposures,PM2.5,-33.82,1.31,0.0
UKB,FEV1,Exposures,Smoke Exposure,24.84,3.36,0.0
UKB,FEV1,Exposures,Work Air,81.69,3.88,0.0
UKB,FEV1,Exposures,Work Breathing Problems,-14.62,33.07,0.658
UKB,FEV1,Exposures,Work Exhaust,86.64,10.12,0.0
UKB,FEV1,Race,Asian,-739.07,8.41,0.0
UKB,FEV1,Race,Black,-601.07,11.18,0.0
UKB,FEV1,Race,Hispanic,0.0,0.0,
UKB,FEV1,Race,Other,-284.98,10.35,0.0
UKB,FVC,Anthropometrics,BMI,-130.12,1.66,0.0
UKB,FVC,Anthropometrics,Height,461.2,2.08,0.0
UKB,FVC,Anthropometrics,Hip Circumference,-24.8,1.69,0.0
UKB,FVC,Anthropometrics,Sit Height,352.24,1.98,0.0
UKB,FVC,Anthropometrics,Waist Circumference,-99.81,1.91,0.0
UKB,FVC,Anthropometrics,Weight,17.78,1.92,0.0
UKB,FVC,Baseline,Sex,-1245.52,3.45,0.0
UKB,FVC,Demographics,High School Graduate,94.54,3.43,0.0
UKB,FVC,Demographics,Immigrant,-441.02,6.27,0.0
UKB,FVC,Demographics,Income Level,71.28,1.77,0.0
UKB,FVC,Demographics,Income:Poverty,123.83,4.71,0.0
UKB,FVC,Demographics,Veteran,0.0,0.0,
UKB,FVC,Exposures,PM10,-37.94,1.69,0.0
UKB,FVC,Exposures,PM2.5,-42.47,1.69,0.0
UKB,FVC,Exposures,PM2.5,-42.47,1.69,0.0
UKB,FVC,Exposures,Smoke Exposure,33.05,4.34,0.0
UKB,FVC,Exposures,Work Air,106.12,5.02,0.0
UKB,FVC,Exposures,Work Breathing Problems,8.62,42.76,0.84
UKB,FVC,Exposures,Work Exhaust,114.29,13.08,0.0
UKB,FVC,Race,Asian,-980.45,10.86,0.0
UKB,FVC,Race,Black,-808.33,14.44,0.0
UKB,FVC,Race,Hispanic,0.0,0.0,
UKB,FVC,Race,Other,-388.36,13.37,0.0
